,locationId,location,entity,parameter,value,sensor_lat,sensor_lon,local_time
176,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.7,42.29289,-83.073135,2023-06-06 16:11:31-04:00
177,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.8,42.29289,-83.073135,2023-06-06 16:09:31-04:00
178,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.6,42.29289,-83.073135,2023-06-06 16:07:31-04:00
179,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.3,42.29289,-83.073135,2023-06-06 16:05:31-04:00
180,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.6,42.29289,-83.073135,2023-06-06 16:03:31-04:00
181,64955,AQSU-WindsorWest-1,Community Organization,pm25,30.2,42.29289,-83.073135,2023-06-06 16:01:31-04:00
182,64955,AQSU-WindsorWest-1,Community Organization,pm25,31.5,42.29289,-83.073135,2023-06-06 15:59:31-04:00
183,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.5,42.29289,-83.073135,2023-06-06 15:57:31-04:00
184,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.7,42.29289,-83.073135,2023-06-06 15:55:31-04:00
185,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.4,42.29289,-83.073135,2023-06-06 15:53:31-04:00
186,64955,AQSU-WindsorWest-1,Community Organization,pm25,26.7,42.29289,-83.073135,2023-06-06 15:51:31-04:00
187,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.0,42.29289,-83.073135,2023-06-06 15:49:31-04:00
188,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.2,42.29289,-83.073135,2023-06-06 15:47:31-04:00
189,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.0,42.29289,-83.073135,2023-06-06 15:45:31-04:00
190,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.9,42.29289,-83.073135,2023-06-06 15:43:31-04:00
191,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.6,42.29289,-83.073135,2023-06-06 15:41:31-04:00
192,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.6,42.29289,-83.073135,2023-06-06 15:39:31-04:00
193,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.7,42.29289,-83.073135,2023-06-06 15:35:31-04:00
194,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.6,42.29289,-83.073135,2023-06-06 15:33:31-04:00
195,64955,AQSU-WindsorWest-1,Community Organization,pm25,30.1,42.29289,-83.073135,2023-06-06 15:29:31-04:00
196,64955,AQSU-WindsorWest-1,Community Organization,pm25,30.0,42.29289,-83.073135,2023-06-06 15:27:31-04:00
197,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.3,42.29289,-83.073135,2023-06-06 15:25:31-04:00
198,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.5,42.29289,-83.073135,2023-06-06 15:23:31-04:00
199,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.3,42.29289,-83.073135,2023-06-06 15:19:31-04:00
200,64955,AQSU-WindsorWest-1,Community Organization,pm25,26.9,42.29289,-83.073135,2023-06-06 15:17:31-04:00
201,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.1,42.29289,-83.073135,2023-06-06 15:15:31-04:00
202,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.3,42.29289,-83.073135,2023-06-06 15:13:31-04:00
203,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.8,42.29289,-83.073135,2023-06-06 15:11:31-04:00
204,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.6,42.29289,-83.073135,2023-06-06 15:09:31-04:00
205,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.3,42.29289,-83.073135,2023-06-06 15:07:30-04:00
206,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.2,42.29289,-83.073135,2023-06-06 15:05:30-04:00
207,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.0,42.29289,-83.073135,2023-06-06 15:03:33-04:00
208,64955,AQSU-WindsorWest-1,Community Organization,pm25,28.8,42.29289,-83.073135,2023-06-06 15:01:30-04:00
209,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.0,42.29289,-83.073135,2023-06-06 14:59:30-04:00
210,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.9,42.29289,-83.073135,2023-06-06 14:57:30-04:00
211,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.3,42.29289,-83.073135,2023-06-06 14:55:30-04:00
212,64955,AQSU-WindsorWest-1,Community Organization,pm25,30.4,42.29289,-83.073135,2023-06-06 14:53:30-04:00
213,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.2,42.29289,-83.073135,2023-06-06 14:51:30-04:00
214,64955,AQSU-WindsorWest-1,Community Organization,pm25,29.9,42.29289,-83.073135,2023-06-06 14:49:30-04:00
215,64955,AQSU-WindsorWest-1,Community Organization,pm25,30.3,42.29289,-83.073135,2023-06-06 14:47:30-04:00
216,64955,AQSU-WindsorWest-1,Community Organization,pm25,31.1,42.29289,-83.073135,2023-06-06 14:45:30-04:00
217,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.3,42.29289,-83.073135,2023-06-06 14:43:30-04:00
218,64955,AQSU-WindsorWest-1,Community Organization,pm25,31.5,42.29289,-83.073135,2023-06-06 14:41:30-04:00
219,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.2,42.29289,-83.073135,2023-06-06 14:39:30-04:00
220,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.8,42.29289,-83.073135,2023-06-06 14:37:30-04:00
221,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.0,42.29289,-83.073135,2023-06-06 14:35:30-04:00
222,64955,AQSU-WindsorWest-1,Community Organization,pm25,31.9,42.29289,-83.073135,2023-06-06 14:33:30-04:00
223,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.0,42.29289,-83.073135,2023-06-06 14:31:30-04:00
224,64955,AQSU-WindsorWest-1,Community Organization,pm25,31.7,42.29289,-83.073135,2023-06-06 14:29:30-04:00
225,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.9,42.29289,-83.073135,2023-06-06 14:27:30-04:00
226,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.5,42.29289,-83.073135,2023-06-06 14:25:30-04:00
227,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.3,42.29289,-83.073135,2023-06-06 14:21:31-04:00
228,64955,AQSU-WindsorWest-1,Community Organization,pm25,33.4,42.29289,-83.073135,2023-06-06 14:19:30-04:00
229,64955,AQSU-WindsorWest-1,Community Organization,pm25,34.7,42.29289,-83.073135,2023-06-06 14:15:30-04:00
230,64955,AQSU-WindsorWest-1,Community Organization,pm25,32.6,42.29289,-83.073135,2023-06-06 14:13:30-04:00
